intervention,outcome,term,estimate,std.error,statistic,p.value,conf.low,conf.high,var_name,value_level
ab_job_corps,income_net_delta,(Intercept),10952.41157,5095.564386,2.149401076,0.03160804,965.0149615,20939.80818,NA,(Intercept)
ab_job_corps,income_net_delta,txTRUE,-2011.44304,850.8071464,-2.36415861,0.018075379,-3679.040144,-343.8459369,tx,TRUE
ab_job_corps,income_net_delta,gender2Men,4084.841456,1865.142318,2.190096389,0.028522462,429.1294185,7740.553493,gender2,Men
ab_job_corps,income_net_delta,gender2Women,-1989.099932,1873.862547,-1.061497245,0.288469793,-5661.903774,1683.703909,gender2,Women
ab_job_corps,income_net_delta,age_in_years,39.57089929,35.998415,1.099240044,0.271669373,-30.98663284,110.1284314,age_in_years,
ab_job_corps,income_net_delta,marital3never married,-210.8924086,894.197529,-0.235845439,0.813553702,-1963.535432,1541.750615,marital3,never married
ab_job_corps,income_net_delta,marital3apart,-2251.550292,2226.490215,-1.011255418,0.311899743,-6615.510618,2112.410035,marital3,apart
ab_job_corps,income_net_delta,marital3together,99.23948655,1290.556517,0.076896661,0.938706103,-2430.274186,2628.753159,marital3,together
ab_job_corps,income_net_delta,education4Less HS,124.0410066,2589.183243,0.047907388,0.961790268,-4950.80409,5198.886104,education4,Less HS
ab_job_corps,income_net_delta,education4High School,-58.51226555,2217.733397,-0.026383814,0.978951323,-4405.309075,4288.284544,education4,High School
ab_job_corps,income_net_delta,education4Post HS,1681.462132,2430.327756,0.691866407,0.489024869,-3082.023392,6444.947656,education4,Post HS
ab_job_corps,income_net_delta,education4University Degree,4651.971376,2761.073493,1.684841562,0.092026215,-759.7816624,10063.72441,education4,University Degree
ab_job_corps,income_net_delta,dependent41 dependent,2039.364379,1213.184334,1.681001248,0.092769749,-338.4984413,4417.227199,dependent4,1 dependent
ab_job_corps,income_net_delta,dependent42 dependents,-780.473067,1453.415326,-0.536992457,0.591275532,-3629.192895,2068.246761,dependent4,2 dependents
ab_job_corps,income_net_delta,dependent43+ dependents,-492.0231082,1656.714234,-0.296987313,0.766477593,-3739.212403,2755.166187,dependent4,3+ dependents
ab_job_corps,income_net_delta,disability2With Disability,-499.6718492,1010.826573,-0.494320057,0.621082623,-2480.909867,1481.566169,disability2,With Disability
ab_job_corps,income_net_delta,ethnicityCaucasian,-2436.00745,1205.530485,-2.020693363,0.043317545,-4798.868591,-73.14630848,ethnicity,Caucasian
ab_job_corps,income_net_delta,ethnicityVisible Minority,4066.104636,3539.860553,1.148662376,0.250701452,-2872.084859,11004.29413,ethnicity,Visible Minority
ab_job_corps,income_net_delta,ethnicityIndigenous,-2781.168384,1345.347667,-2.067248826,0.03871653,-5418.073681,-144.2630858,ethnicity,Indigenous
ab_job_corps,income_net_delta,immigrationborn in Canada,-635.1205402,1200.75205,-0.528935628,0.596852766,-2988.615864,1718.374784,immigration,born in Canada
ab_job_corps,income_net_delta,immigrationimmigrant,425.0369925,2408.20205,0.17649557,0.859905439,-4295.081756,5145.155741,immigration,immigrant
ab_job_corps,income_net_delta,region7North Central,427.871872,2028.060419,0.2109759,0.832907051,-3547.162534,4402.906278,region7,North Central
ab_job_corps,income_net_delta,region7North East,3720.61906,2976.761744,1.249888093,0.211347058,-2113.886777,9555.124897,region7,North East
ab_job_corps,income_net_delta,region7Edmonton,-262.6199383,1609.834714,-0.163134722,0.870413109,-3417.924541,2892.684664,region7,Edmonton
ab_job_corps,income_net_delta,region7Central,1982.337988,2036.659206,0.973328273,0.33039551,-2009.550193,5974.226169,region7,Central
ab_job_corps,income_net_delta,region7Calgary,-2489.651156,1709.854383,-1.45606034,0.145383054,-5840.996086,861.6937749,region7,Calgary
