intervention,outcome,outcome_n,tx,mean_raw,mean_weighted,net_impact,estimate,p.value
ab_job_corps,income_net_delta,43854,FALSE,2214.7404341679207,5338.17393191965,NA,NA,NA
ab_job_corps,income_net_delta,309,TRUE,5045.511326860841,5045.511326860841,-292.6626050588093,-2011.4430402230173,0.018075379226220312
ab_job_corps,earnings_total_delta,43854,FALSE,311.8999635153004,2500.2562844791087,NA,NA,NA
ab_job_corps,earnings_total_delta,309,TRUE,2103.1423948220063,2103.1423948220063,-397.1138896571024,-1385.8830504667774,0.12201764761425762
ab_job_corps,income_total_delta,43854,FALSE,2292.611232726775,5442.548365093594,NA,NA,NA
ab_job_corps,income_total_delta,309,TRUE,5049.171521035599,5049.171521035599,-393.3768440579952,-2160.2237911859584,0.013061821080528703
ab_job_corps,income_taxable_delta,43854,FALSE,-372.8339718155702,2236.9102154978577,NA,NA,NA
ab_job_corps,income_taxable_delta,309,TRUE,1991.663430420712,1991.663430420712,-245.24678507714566,-1756.5868926625315,0.04507625738358404
career_planning,income_net_delta,39794,FALSE,2128.4150877016637,1986.2473525787523,NA,NA,NA
career_planning,income_net_delta,4369,TRUE,3201.2222476539255,3201.2222476539255,1214.9748950751732,1044.019708201385,3.584276417968122e-4
career_planning,earnings_total_delta,39794,FALSE,95.58041413278357,203.05168333038833,NA,NA,NA
career_planning,earnings_total_delta,4369,TRUE,2408.8818951705193,2408.88189517052,2205.8302118401316,1837.4194807429017,1.0526715237938565e-8
career_planning,income_total_delta,39794,FALSE,2202.9747951952554,2032.6095340288032,NA,NA,NA
career_planning,income_total_delta,4369,TRUE,3304.0027466239417,3304.002746623941,1271.393212595138,1091.1717705574051,3.1596282663192804e-4
career_planning,income_taxable_delta,39794,FALSE,-480.01130823742267,-754.2859760017567,NA,NA,NA
career_planning,income_taxable_delta,4369,TRUE,770.5957885099565,770.5957885099565,1524.8817645117133,1487.4007971390217,9.968412647330313e-7
english_as_second,income_net_delta,42932,FALSE,2096.6295770054976,6364.35455016948,NA,NA,NA
english_as_second,income_net_delta,1231,TRUE,7044.507717303006,7044.507717303006,680.153167133526,583.9194856035053,0.2112378912300718
english_as_second,earnings_total_delta,42932,FALSE,164.6108730084789,4430.957343606873,NA,NA,NA
english_as_second,earnings_total_delta,1231,TRUE,5898.34118602762,5898.34118602762,1467.383842420747,-34.90527952314518,0.9454015372305153
english_as_second,income_total_delta,42932,FALSE,2167.843706326284,6580.467345853228,NA,NA,NA
english_as_second,income_total_delta,1231,TRUE,7335.906580016247,7335.906580016247,755.4392341630191,580.0801687180054,0.2327091507276698
english_as_second,income_taxable_delta,42932,FALSE,-529.594870958726,3797.781176327494,NA,NA,NA
english_as_second,income_taxable_delta,1231,TRUE,5687.839155158408,5687.839155158408,1890.0579788309142,461.10901885049253,0.3406583659576693
exposure_course,income_net_delta,41622,FALSE,2268.0394743164675,737.6392242935706,NA,NA,NA
exposure_course,income_net_delta,2541,TRUE,1685.9311294765841,1685.931129476584,948.2919051830133,1678.1374808951284,8.307767235997927e-5
exposure_course,earnings_total_delta,41622,FALSE,305.86968430157117,-1168.6033545635344,NA,NA,NA
exposure_course,earnings_total_delta,2541,TRUE,628.5021645021645,628.5021645021645,1797.105519065699,2135.3242849924177,2.015052509298124e-6
exposure_course,income_total_delta,41622,FALSE,2348.1393253567826,759.4562698209775,NA,NA,NA
exposure_course,income_total_delta,2541,TRUE,1718.2652499016135,1718.2652499016135,958.808980080636,1694.423477809225,1.247444493380525e-4
exposure_course,income_taxable_delta,41622,FALSE,-344.42304550478065,-1980.6250342072947,NA,NA,NA
exposure_course,income_taxable_delta,2541,TRUE,-550.6733569460843,-550.6733569460843,1429.9516772612105,2065.459459525652,2.914471444437472e-6
job_placement,income_net_delta,40828,FALSE,2116.960860193984,1983.7300505909416,NA,NA,NA
job_placement,income_net_delta,3335,TRUE,3674.066566716642,3674.066566716642,1690.3365161257002,1232.118758105999,3.345714612475762e-4
job_placement,earnings_total_delta,40828,FALSE,176.67982756931562,-38.98884952749432,NA,NA,NA
job_placement,earnings_total_delta,3335,TRUE,2133.2677661169414,2133.2677661169414,2172.256615644436,1856.8998293696427,3.8858222454021546e-7
job_placement,income_total_delta,40828,FALSE,2188.646100715195,2000.2573749323772,NA,NA,NA
job_placement,income_total_delta,3335,TRUE,3820.786806596702,3820.786806596702,1820.5294316643246,1324.306336047796,2.1121168237085022e-4
job_placement,income_taxable_delta,40828,FALSE,-490.3306064465565,-974.4701118494011,NA,NA,NA
job_placement,income_taxable_delta,3335,TRUE,1284.671964017991,1284.671964017991,2259.142075867392,1878.7387520673935,1.4782817456993238e-7
training_for_work,income_net_delta,40295,FALSE,2284.1945898994913,1950.9555370404405,NA,NA,NA
training_for_work,income_net_delta,3868,TRUE,1717.3394519131334,1717.3394519131334,-233.6160851273071,44.35983149340517,0.8880696507542701
training_for_work,earnings_total_delta,40295,FALSE,206.64481945650763,-135.17946558883568,NA,NA,NA
training_for_work,earnings_total_delta,3868,TRUE,1551.4940537745604,1551.4940537745606,1686.6735193633963,1313.42654310481,1.0592301694858541e-4
training_for_work,income_total_delta,40295,FALSE,2364.3541382305493,2013.1149101639066,NA,NA,NA
training_for_work,income_total_delta,3868,TRUE,1765.438728024819,1765.438728024819,-247.6761821390876,53.51719188366227,0.8693423109277261
training_for_work,income_taxable_delta,40295,FALSE,-347.46221615585034,-924.1574339043336,NA,NA,NA
training_for_work,income_taxable_delta,3868,TRUE,-448.2541365046535,-448.25413650465356,475.90329739968007,625.2764356200001,0.05246446171634587
work_foundation,income_net_delta,40901,FALSE,2178.317425001834,3548.4801881334006,NA,NA,NA
work_foundation,income_net_delta,3262,TRUE,2939.5858369098714,2939.5858369098714,-608.8943512235292,-1370.8424559975551,4.047938632877865e-5
work_foundation,earnings_total_delta,40901,FALSE,257.03973007994944,1752.2452538935636,NA,NA,NA
work_foundation,earnings_total_delta,3262,TRUE,1169.4512568976088,1169.4512568976088,-582.7939969959548,-1571.43543611881,9.035773627472807e-6
work_foundation,income_total_delta,40901,FALSE,2255.3997946260483,3679.8457970818563,NA,NA,NA
work_foundation,income_total_delta,3262,TRUE,3020.312691600245,3020.312691600245,-659.5331054816111,-1424.7813078760826,3.296763590352448e-5
work_foundation,income_taxable_delta,40901,FALSE,-435.6879538397598,1000.5216115801874,NA,NA,NA
work_foundation,income_taxable_delta,3262,TRUE,639.250766400981,639.250766400981,-361.2708451792064,-1326.2467451466377,1.2470625423616755e-4
workshop_noncp,income_net_delta,36944,FALSE,2517.8832828064096,1917.8461434281721,NA,NA,NA
workshop_noncp,income_net_delta,7219,TRUE,784.5421803573902,784.5421803573902,-1133.303963070782,-132.80787749915928,0.6227925476637797
workshop_noncp,earnings_total_delta,36944,FALSE,398.8771383715889,364.22280201112613,NA,NA,NA
workshop_noncp,earnings_total_delta,7219,TRUE,-56.54315002077859,-56.5431500207785,-420.76595203190465,449.79984562944935,0.11575683580143623
workshop_noncp,income_total_delta,36944,FALSE,2608.146573191858,1974.4164804484885,NA,NA,NA
workshop_noncp,income_total_delta,7219,TRUE,795.8165950962737,795.8165950962738,-1178.5998853522146,-129.23870584535564,0.6433610786882571
workshop_noncp,income_taxable_delta,36944,FALSE,-107.08209722823679,-658.5437953202254,NA,NA,NA
workshop_noncp,income_taxable_delta,7219,TRUE,-1631.63817703283,-1631.63817703283,-973.0943817126047,182.46988671320642,0.511011230883325
